DateTime,AddedIPs,RemovedIPs
1548079323,2,0
1548081724,6,0
1548082924,2,0
1548084123,1,0
1548085323,1,0
1548086523,3,0
1548087122,1,0
1548087723,13,0
1548090123,1,0
1548090723,1,0
1548091922,2,0
1548092523,3,0
1548094324,1,0
1548094923,14,0
1548096124,3,0
1548097324,2,0
1548097923,7,0
1548098523,4,0
1548099723,4,0
1548100923,2,0
1548102123,1,0
1548103322,2,0
1548104646,8,0
1548106922,2,0
1548108123,4,0
1548109324,2,0
1548110523,2,0
1548111723,1,0
1548112923,4,0
1548113523,2,0
1548114123,2,0
1548114723,1,0
1548115324,1,0
1548116522,2,0
1548121323,3,0
1548121922,1,0
1548122524,2,0
1548123123,5,0
1548123723,6,0
1548124924,18,0
1548125523,3,0
1548126124,1,0
1548127323,1,0
1548127923,1,0
1548128523,3,0
1548129722,2,0
1548130922,2,0
1548131523,1,0
1548132122,1,0
1548133323,2,0
1548135723,1,0
1548136923,6,0
1548137523,2,0
1548138122,3,0
1548139323,4,0
1548139922,0,1
1548140523,3,0
1548141723,2,0
1548143523,1,0
1548144124,1,0
1548144725,1,0
1548146523,2,0
1548147122,6,0
1548147724,3,0
1548148924,2,0
1548150123,1,0
1548153723,3,0
1548156123,1,0
1548156723,1,0
1548157322,4,0
1548158523,1,0
1548160322,1,0
1548160923,2,0
1548161522,2,0
1548162124,2,0
1548162723,3,0
1548163322,1,0
1548164522,3,0
1548165724,1,0
1548166323,1,0
1548166923,1,0
1548168123,9,0
1548169323,2,0
1548169923,1,0
1548170522,4,0
1548171723,2,0
1548174123,1,0
1548174724,2,0
1548175323,2,0
1548175923,1,0
1548176523,2,0
1548177723,1,0
1548178923,2,0
1548179523,1,0
1548180123,1,0
1548183723,1,0
1548186123,1,0
1548187322,4,0
1548187924,1,0
1548188523,3,0
1548189723,9,0
1548190923,3,0
1548192724,1,0
1548193322,1,0
1548194523,3,0
1548195722,2,0
1548196922,1,0
1548198122,1,0
1548198723,1,0
1548199323,15,0
1548201122,5,0
1548201724,2,0
1548202323,1,0
1548203572,2,0
1548204122,2,0
1548204724,2,0
1548205323,1,0
1548206523,8,0
1548207722,5,0
1548208922,12,0
1548209524,1,1
1548210123,2,0
1548210722,6,0
1548211322,4,0
1548212522,8,0
1548213124,1,0
1548213723,44,0
1548216123,1,0
1548216723,9,0
1548217322,8,0
1548218522,1,0
1548219723,3,0
1548220923,3,0
1548221523,5,0
1548222123,4,0
1548222722,4,0
1548223324,1,0
1548224523,17,0
1548225123,1,0
1548225723,5,0
1548226323,1,0
1548226923,2,0
1548228123,9,0
1548228723,12,0
1548229323,4,0
1548230523,6,0
1548231126,13,0
1548231723,1,0
1548232322,12,0
1548232923,8,0
1548234123,6,0
1548234723,5,0
1548235323,1,0
1548235923,17,0
1548236523,2,0
1548238923,4,1
1548240123,23,0
1548241324,5,0
1548242523,8,0
1548243722,6,0
1548244324,2,0
1548244922,12,0
1548246123,3,0
1548247323,8,0
1548248523,1,0
1548249124,3,0
1548249722,3,0
1548250922,6,0
1548252123,2,0
1548252723,8,0
1548253922,2,0
1548254522,7,0
1548255124,2,0
1548255722,4,0
